"A","Name on ballot","Candidate

Sequence","H1","   Type
      Nominat-
            ion","Electoral
district","H2","Sex","Candidate's full name","Voter number","SourceFile"
"255 ","Progress Party","5 ","","Party","Saladin","","Male","      Ayad Mohammed Daboun Hasir N
                            Al-Azzawi","5739 ","ElectionCandidates_Original.csv"
"275 ","Kurdistan Democratic Pa-
rner","62 ","","Party","Nineveh","","   female
 ","      Cavern Saeed Mohammed Ahmed
                          Mazuri","7328 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","49 ","","Alliance","Baghdad","","Male","      Dawood Salman Mohsen Ghanem
                        Al-Kaathi","3576 ","ElectionCandidates_Original.csv"
"275 ","Kurdistan Democratic Pa-
rner","9 ","","Party","Erbil","","Male","      Dear brother-in-law, Kore Khan Harki","66 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","77 ","","Alliance","Baghdad","","   female
 ","      Don't you feel sorry for my
beloved who asked me to leave?","3405 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","25 ","","Alliance","The egg","","Male","      Duraid Abdul Bafri Nasser Hamza
                         Al-Miyaji","787 ","ElectionCandidates_Original.csv"
"206 ","Civil Democratic Allia-
nce","2 ","","Alliance","Baghdad","","   female
 ","      Flowers by Hasir Saleh Mahdi Al-
                          Rubaie","2406 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","1 ","","Alliance","Wasit","","Male","      Hasir N        Salloum Dawood Salman
                             Al-Dawri","7655 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","17 ","","Alliance","Babylon","","Male","      Hasir N       Hassankataa Mus Jal-
                              iha","2252 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","60 ","","Party","Nineveh","","   female
 ","      Hoda Jarallah Dawood Hasir N
                          Al-Ghabsha","7060 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","1 ","","Alliance","Babylon","","Male","      Jassim Mohammed Ashlaka, the end
                   of evil, technically","2212 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","3 ","","Alliance","Wasit","","Male","      Karim Salman Nasser Hasir N
                         Baydani","7657 ","ElectionCandidates_Original.csv"
"267 ","Nineveh for its people","29 ","","Party","Nineveh","","Male","      Marwan Hazem Abdel Rahman Dhnoon Abdel Rah-
                                         man","7113 ","ElectionCandidates_Original.csv"
"245 ","Canon's secr-
ets","14 ","","Party","Dhi Qar","","Male","      Mohammed Rashid Hashim Fadl Al-
                                 Akili","5352 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","12 ","","Party","Saladin","","Male","      Mohammed Shweish Ahmed Haseer N
                               Al-Qaisi","5746 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","1 ","","Party","Najaf","","Male","      Mohsen Yasser Taha Youssef Al-
                           Hizba","1539 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","23 ","","Alliance","Babylon","","Male","      Mustafa Hamza Abdul Radam Al-
                          Matrawi","2258 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","16 ","","Alliance","Nineveh","","   female
 ","      Rafel Mohammed Ahmed Haseer N
                         Al-Akeedi","6696 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","105 ","","Alliance","Baghdad","","Male","      Razzaq Mukhalaf Ali Hasir N
                        Al-Masari","4296 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","38 ","","Party","Baghdad","","Male","      Riyadh Muhammad Hasan Akab Al-Hasthan
                                         Y","2307 ","ElectionCandidates_Original.csv"
"239 ","Sumerian movement","18 ","","Party","Babylon","","Male","      Saad Ibrahim Talib, Sultani Dialo-
                              gue","2076 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","16 ","","Alliance","Najaf","","   female
 ","      Visions of Ali Muhammad Ali Darw-
                            ish Al-Lami","1602 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","14 ","","Alliance","Nineveh","","Male","      Youssef Mu'ayyad Hasir N       Fay-
                    yad Al-Badranani","6694 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","17 ","","Alliance","Baghdad","","Male","     Ahmed Ibrahim Haseer N Moh-
               ammed Al-Takrithri","4209 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","1 ","","Alliance","The two","","Male","     Ahmed Marzouq Salal Mohammed
                        Al-Hassani","1395 ","ElectionCandidates_Original.csv"
"240 ","National masses","27 ","","Party","Nineveh","","Male","     Ahmed Mohammed Abdullah Saleh Al-
                               Khatani","6845 ","ElectionCandidates_Original.csv"
"286 ","Civilians","38 ","","Party","Nineveh","","Male","     Bashar Abdul Karim Atallah Khadhn-
                             hamid","7429 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","97 ","","Alliance","Baghdad","","Male","     Bashir Ahmed kneeling on me, the
                           narrator","2848 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","30 ","","Alliance","The egg","","   female
 ","     Batoul Fawzi Hasiran Alwan
                    Shikhanni","642 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","18 ","","Alliance","The egg","","   female
 ","     Fatima Salman Zubari Salem
                  Al-Zarkanani","780 ","ElectionCandidates_Original.csv"
"257 ","State of Law Coalition","26 ","","Alliance","Babylon","","Male","     Haitham Mohammed Kazim Mansi
                       Al-Jabouri","2206 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","15 ","","Alliance","The egg","","Male","     Hamed Abdel-Hassir Muhammad Abtan Al-
                                 Hassir","777 ","ElectionCandidates_Original.csv"
"269 "," National res-
      olution","135 ","","Alliance","Baghdad","","   female
 ","     Hanir N Abdul Karim Hasir N
                          Jarbi'ah","4325 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","18 ","","Alliance","Babylon","","Male","     Hasir N       Mazharna Sahrha N Al-
                            Awidi","2253 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","14 ","","Alliance","Babylon","","Male","     Hasir N       Nima Muhsin Kadhim Dha-
                                bahawi","2221 ","ElectionCandidates_Original.csv"
"225 ","Stand Group ","7 ","","Party","Erbil","","Male","     Hassan Ahmed Sirr Yif Moha-
                 mmed Amir N","41 ","ElectionCandidates_Original.csv"
"289 ","State Support Bloc","24 ","","Party","Dhi Qar","","   female
 ","     Hoda Hadi, taste of Damis Al-Hamdani","5542 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","27 ","","Party","Baghdad","","Male","     I am very sad about Hafez Muhammad Al-
                               Zirjawi","2296 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","7 ","","Alliance","Diyala","","   female
 ","     Ibtihal Mohsen Anoud Hasir N
                        Al-Daithan Y","4722 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","83 ","","Alliance","Baghdad","","Male","     Imad Hamid Shihan Hasirn Al-
                        Janani","3275 ","ElectionCandidates_Original.csv"
"278 ","Kurdistan Islamic Union","7 ","","Party","Sulaymaniyah","","Male","     Ismail Ahmed Haseer N Moh-
                       ammed","1051 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","124 ","","Alliance","Baghdad","","Male","     Jamal Khadir Mohammed Ah-
              med Al-Hamdani","2875 ","ElectionCandidates_Original.csv"
"242 ","Leadership","22 ","","Alliance","Anbar","","Male","     Jumaa Muhammad Awad Mu-
             hammad al-Hablani","232 ","ElectionCandidates_Original.csv"
"245 ","Canon's secr-
ets","10 ","","Party","Dhi Qar","","Male","     Malik Diab Salman Shamjan Y Al-
                            Zaidi","5348 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","23 ","","Alliance","The egg","","Male","     Mazen and technician Jawad Mo-
                 hammed Al Majed","785 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","131 ","","Alliance","Baghdad","","Male","     Mohammed Abdullah Khalil Ib-
                rahim Radithin Y","2574 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","55 ","","Alliance","Baghdad","","Male","     Mohammed Abdul-Ridha Jassim Ali Al-
                                Nouri","3081 ","ElectionCandidates_Original.csv"
"204 ","Iraqi Alliance, Kirkuk","13 ","","Alliance","Kirkuk","","Male","     Mohammed Hasiran Ali Khalil
                    Al-Jubouri","6097 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","99 ","","Alliance","Baghdad","","Male","     Mohammed Jassab Rashid Kataa
                     Al-Zarkanani","4290 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","8 ","","Alliance","Wasit","","Male","     Mohammed KhalafAbbas Ta-
               moul Al-Atwani","7662 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","14 ","","Alliance","Saladin","","Male","     Mohammed Sabah Hassan Khalifa Al-
                               Jumaili","5724 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","127 ","","Alliance","Baghdad","","Male","     Mu'ayyad Farhan Muhammad Hasiran
                            al-Tamimi","2570 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","19 ","","Alliance","Babylon","","Male","     Muhammad Jabbar, the owner of Attia Al-Awidi","2254 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","46 ","","Alliance","The egg","","Male","     Mustafa Najm Abdullah Sarr Y Al-
                          Tamimi","608 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","102 ","","Alliance","Baghdad","","Male","     Muththan Hilal Al-Karji Sahab Al-
                           Obaidi","4293 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","67 ","","Alliance","Baghdad","","   female
 ","     Nadia Jabbar Karim, honey, my
                      sweetheart","3395 ","ElectionCandidates_Original.csv"
"205 ","Anbar is our identity","21 ","","Alliance","Anbar","","female
 ","     Names of Osama Abdul Rah-
           man Obaid Al-Anani","129 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","1 ","","Party","Nineveh","","Male","     Qusay Abbas Muhammad Hasiran al-
                           Hasiran","6630 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","12 ","","Alliance","Dhi Qar","","   female
 ","     Rabha Qasim KhafifTamoul Al-Dhaifn
                                   Y","5373 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","23 ","","Alliance","Dhi Qar","","Male","     Riyadh Muhammad Mohsen Sarr in Al-Shar
                                    in","5323 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","17 ","","Alliance","Najaf","","Male","     Saadoun Jaber Hawassir N
                     Al-Kaathi","1689 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","11 ","","Alliance","Baghdad","","Male","     Salman Kazim Abdul Redha Na-
                 eem Al-Jirn I am","3340 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","105 ","","Alliance","Baghdad","","   female
 ","     Shaima Mahmoud Ali Karim
               Al-Hamir I am","2548 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","14 ","","Alliance","The two","","   female
 ","     Share with Raheefkadhim Mo-
             hammed Al-Hassani","1380 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","45 ","","Alliance","The egg","","   female
 ","     Sky Jassim Hamadi Hassan Al-Matfar
                                   Y","607 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","5 ","","Alliance","Babylon","","Male","     Taleb Khalil Rahi Hasir N
                      al-Yasari","1827 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","58 ","","Alliance","Baghdad","","Male","     The specter of a sad student, Nikazem Bathin
                                  Ya Hassan","3250 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","39 ","","Alliance","Baghdad","","Male","     Walid Rasn Y Jalibakshish Al-
                        Akeili","3566 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","17 ","","Alliance","Baghdad","","   female
 ","     Yasmine N Ayad Abdul Karim Haider Nour-
                                       allah","3346 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","26 ","","Alliance","The egg","","Male","     Yasser N Haseer N Sirr Y Hassan Al
                            Batat","588 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","4 ","","Alliance","Al-Qadisiyah","","   female
 ","     Zahra Kazim Hassan Saleh Bat-
                     hin Y Saad","1289 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","7 ","","Party","Baghdad","","Male","     Zaid Jamal Dawood
   Muhammad Al-Kanani","2276 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","61 ","","Alliance","Baghdad","","Male","    Abdul Haseer N Badai Moghtadh, the work of Naie
                                  Al-Batbouti","3086 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","6 ","","Alliance","The egg","","Male","    Abdul Namir Safni, you are
                     a fool","898 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","87 ","","Alliance","Baghdad","","Male","    Adel Sadiq Jamil Aftan Al-Husaythan
                               Y","4278 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","20 ","","Party","Dhi Qar","","Male","    Ahmed Hassan Rahi Hasir N
                     Al-Abdullah","5004 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","125 ","","Party","Baghdad","","Male","    Ahmed Shihab Ahmed Must-
                afa Al-Rubaie","2392 ","ElectionCandidates_Original.csv"
"259 ","National Depth Allia-
nce","10 ","","Alliance","Karbala","","Male","    Akram Aziznoor Rahmoud Al Ya-
                            sser","6071 ","ElectionCandidates_Original.csv"
"251 ","Rights Movement","1 ","","Party","Karbala","","Male","    Ali Abdulzahra Matar Muham-
               mad Al-Arasani","6032 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","132 ","","Alliance","Baghdad","","Male","    Ali Ahmed MaktoufAlwan
                 Al-Farrani","3322 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","12 ","","Alliance","Saladin","","   female
 ","    Amal Marai Hassan Mohammed
                      Al-Bayanri","5567 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","117 ","","Alliance","Baghdad","","   female
 ","    Amany Abdul Jalil Shia Joda Al-
                       Rukani","2868 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","121 ","","Party","Baghdad","","Male","    Asaad Fadel, may God have mercy on my
                              family","2388 ","ElectionCandidates_Original.csv"
"290 ","Nineveh First All-
iance","30 ","","Alliance","Nineveh","","female
 ","    Bushra Abdul-Ridha Musa Hasir N
                               Musa","7490 ","ElectionCandidates_Original.csv"
"209 ","Rescuers","11 ","","Party","Najaf","","Male","    Dear Jassim Muhammad Qarboun Al-Ja'bawi,","1537 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","13 ","","Alliance","The two","","Male","    Fouad Kazim Abdul-Sada Aqla Al-
                           Hassani","1379 ","ElectionCandidates_Original.csv"
"275 ","Kurdistan Democratic Pa-
rner","6 ","","Party","Erbil","","   female
 ","    Good news, Karim Hamad Amir N Muhammad Qarah-
                                                 sanj","63 ","ElectionCandidates_Original.csv"
"205 ","Anbar is our identity","22 ","","Alliance","Anbar","","female
 ","    Hadeel Khalaf Saleh Askar Al-
                      Hardani","130 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","54 ","","Party","Nineveh","","   female
 ","    Haifa Kader Gerges Hasir N       Al Sha-
                               msi","7055 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","17 ","","Alliance","Wasit","","Male","    Hamza Jawad Kadhim Abdul Ka-
                           lani","7649 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","63 ","","Alliance","Baghdad","","Male","    Hashem Mohammed Salboukh Zid-
                 ane Bathin Y Rakab","3391 ","ElectionCandidates_Original.csv"
"333 ","Sheikh Hasir N        Janni Al-Malekshahi
Al-Fayli","1 ","","  Pe-
rson","Wasit","","Male","    Hasir N       Mehdi Janani Mo-
           hammad Malek Shah","7766 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","21 ","","Alliance","The egg","","Male","    Hasirn Nasser Amdehli Hassan
                  Al-Yin Azna","783 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","11 ","","Alliance","Babylon","","Male","    Hazem Jawad Kazim Daw-
            ood Al-Faranari","1989 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","129 ","","Alliance","Baghdad","","   female
 ","    Hind Hatem Ali Jassim Al-
                Mashhadani","2572 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","43 ","","Alliance","The egg","","Male","    Hisham Abdul Ali Abdul Hassan Mohammed Al-
                                  Mutawwari","805 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","15 ","","Alliance","Baghdad","","Male","    Hisham Katie Saleh Jananani
                   Al-Asadi","3344 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","79 ","","Alliance","Baghdad","","   female
 ","    Ibtisam Hasir N       Khamis Marhej
                        Al-Kanani","3407 ","ElectionCandidates_Original.csv"
"221 ","National Sovereignty Alliance - Le-
gislation","123 ","","Alliance","Baghdad","","Male","    Ihab Ibrahim Khadir Abdul Ka-
                        rtanni","2874 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","15 ","","Alliance","Najaf","","Male","    In the name of Ali Abdul-
      Sada Khadir Al-Zarfani","1687 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","20 ","","Alliance","Kirkuk","","   female
 ","    Janan Mohsen Tahsir N        Hasir N
                              Al-Bayanri","6285 ","ElectionCandidates_Original.csv"
"207 ","         Reconstruction and Development Coali-
                                    tion","11 ","","Alliance","Nineveh","","Male","    Jassim Mohammed Hasirn Aswad Al Asw-
                                 adku","6518 ","ElectionCandidates_Original.csv"
"230 ","Al-Arafari Al-Ithar
Party","21 ","","Party","Dhi Qar","","Male","    Malik Abdulhassin Jassim Tha-
                         mer","5171 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","115 ","","Alliance","Baghdad","","Male","    Mamoul Abdul Rahman Jameel Dar-
                    wish Al-Nisani","2558 ","ElectionCandidates_Original.csv"
"275 ","Kurdistan Democratic Pa-
rner","60 ","","Party","Nineveh","","Male","    Marwan Hassan Haseer N Ah-
              med Al-Atroser Y","7326 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","79 ","","Party","Baghdad","","Male","    Mohammed Jassim Haseer N Ha-
              mad Al-Mashhadani","3795 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","19 ","","Alliance","Najaf","","Male","    Mohammed Obaid Jassim Thuwaythin Y
                          Al-Kharifawi","1605 ","ElectionCandidates_Original.csv"
"231 ","National State Forces Alliance","17 ","","Alliance","Najaf","","Male","    Muhammad Mahdi, the owner ofMu-
                 hammad al-Hamdani","1603 ","ElectionCandidates_Original.csv"
"218 ","Badr Organization","20 ","","Party","The egg","","   female
 ","    Muthanna Abdul Bari Jassim Muhammad
                            Al-Kanaan","533 ","ElectionCandidates_Original.csv"
"230 ","Al-Arafari Al-Ithar
Party","22 ","","Party","Dhi Qar","","Male","    Muththan Hamid Majeed Kamar
                     Al-Bayanri","5172 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","74 ","","Alliance","Baghdad","","Male","    Muththan Mansour KhalafMo-
         hammed Al-Mashhadani","4265 ","ElectionCandidates_Original.csv"
"266 ","Alliance of Excelle-
nce","9 ","","Alliance","Saladin","","Male","    Nawaf Zidane
    KhalafLafni","5766 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","77 ","","Alliance","Baghdad","","   female
 ","    Nouran Abdul Amir Ali Aki Mos Ban-
                              dar","3269 ","ElectionCandidates_Original.csv"
"240 ","National masses","28 ","","Party","Nineveh","","Male","    Omar Mohammed Ali Jassim Moham-
                    med Al-Matyouni","6846 ","ElectionCandidates_Original.csv"
"244 ","Al-Arafri Foun-
dation Coalition","33 ","","Alliance","Dhi Qar","","   female
 ","    Rabab Ali Muhaibis Safni
               Al-Askari","5333 ","ElectionCandidates_Original.csv"
"269 ","National res-
olution","75 ","","Alliance","Baghdad","","   female
 ","    Radhab Hafez Hamid Haseer N
                      Al-Tani","4266 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","15 ","","Alliance","Saladin","","Male","    Riyadh Sayyad Hamadi Thuwaythin Y
                         Al-Kabeer Y","5570 ","ElectionCandidates_Original.csv"
"250 ","Alternative Allia-
nce","29 ","","Alliance","Baghdad","","Male","    Riyadh Younis Saad Shamjan Y Al-
                            Saadi","3556 ","ElectionCandidates_Original.csv"
"271 ","Services Alliance","30 ","","Alliance","The egg","","Male","    Safaa Kazim Mohammed Gh-
                         ayi","920 ","ElectionCandidates_Original.csv"
"251 ","Rights Movement","72 ","","Party","Baghdad","","   female
 ","    Salwan Saad Jaber Hasir N
                   Al-Shuwaili","3683 ","ElectionCandidates_Original.csv"
"251 ","Rights Movement","61 ","","Party","Baghdad","","Male","    Samer Abdul Ali Haseer N Mohammed Al-
                                Khafaji","3675 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","61 ","","Alliance","Baghdad","","   female
 ","    Sanaa Yasser Faleh Shadhar Al-
                        Rubaie","3253 ","ElectionCandidates_Original.csv"
"222 ","Patriotic Union of Kurdistan","21 ","","Party","Sulaymaniyah","","Male","    Sardar Fafari Mohammad Gh-
                  aidan Qadir","959 ","ElectionCandidates_Original.csv"
"281 ","Nineveh People's Union","3 ","","Alliance","Nineveh","","Male","    Sardar Siamand Abdullah Ha-
                   sir Balani","7333 ","ElectionCandidates_Original.csv"
"241 ","Azm Iraq Alliance","12 ","","Alliance","Saladin","","   female
 ","    Shaima Mahmoud Ali Abdel Rah-
                            man","5674 ","ElectionCandidates_Original.csv"
"205 ","Anbar is our identity","12 ","","Alliance","Anbar","","Male","    Shaker Mahmoud Obaid Haseer N Al-
                            Issawi","120 ","ElectionCandidates_Original.csv"
"201 ","Yazidi Cause Alliance","32 ","","Alliance","Nineveh","","   female
 ","    Sher Bin Khalaf Suleiman
      Mahmoud Al-Samoufri","6507 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","114 ","","Party","Baghdad","","   female
 ","    The beds of Shahab Ahmed Abbas
                      Al-Samarani","2381 ","ElectionCandidates_Original.csv"
"252 ","Design Alliance","13 ","","Alliance","The egg","","Male","    The secret of Salman Dakhil Hassan Al-
                               Obaidi","775 ","ElectionCandidates_Original.csv"
"224 ","Good news, Iraq","36 ","","Alliance","The egg","","   female
 ","    Two prominent centers: Shaalan Laithi Al-Mira
                                      Ahmed","598 ","ElectionCandidates_Original.csv"
"202 ","Sadiqun Movement","16 ","","Party","Baghdad","","female
 ","    Upon him, Faleh Awad Abbas Al-Emirate","2285 ","ElectionCandidates_Original.csv"
"255 ","Progress Party","43 ","","Party","Nineveh","","Male","    Ziad Mohammed Ahmed Sa-
            adoun Al-Hamdani","7044 ","ElectionCandidates_Original.csv"
"222 ","Patriotic Union of Kurdistan","31 ","","Party","Sulaymaniyah","","Male","   A
Paul MaroufAli Majid","969 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","30 ","","Alliance","Dhi Qar","","Male","   Abdul-Ridha Abbas Hasiran Al-Khafaji pl-
                                   ows","5067 ","ElectionCandidates_Original.csv"
"289 ","State Support Bloc","22 ","","Party","Dhi Qar","","Male","   Abdul-Ridha Ali Rasan, my beloved Sul-
                             eiman","5540 ","ElectionCandidates_Original.csv"
"201 ","Yazidi Cause Alliance","27 ","","Alliance","Nineveh","","Male","   Adham Murad Khosthri Ei-
                    dwadi","6502 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","6 ","","Alliance","The two","","Male","   Ahmed Abdel-Aaliy Nasser Hasir N
                            Al-Yasiri","1372 ","ElectionCandidates_Original.csv"
"207 ","Reconstruction and Development Coali-
tion","22 ","","Alliance","The egg","","Male","   Ahmed Abdel-Hasir Nakazem Moham-
                        med Mazra'a","434 ","ElectionCandidates_Original.csv"
